date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:32:50	8373/8373	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Oct%202020%2020:32:50%20GMT	https://gdiac.cis.cornell.edu/news/index.php?id=29	C:/Users/Jaroslav/Desktop/WinHTTrack/GDIAC%20NEWS/gdiac.cis.cornell.edu/news/index95dc.html	(from )
22:32:50	297/297	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Oct%202020%2020:32:51%20GMT	https://gdiac.cis.cornell.edu/robots.txt		(from )
22:32:51	14269/14269	---M--	200	added ('OK')	text/css	etag:%224c0035-37bd-50607ecaf4340%22	https://gdiac.cis.cornell.edu/css/style.css	C:/Users/Jaroslav/Desktop/WinHTTrack/GDIAC%20NEWS/gdiac.cis.cornell.edu/css/style.css	(from https://gdiac.cis.cornell.edu/news/index.php?id=29)
22:32:52	3244/3244	---M--	200	added ('OK')	text/css	etag:%224c020a-cac-4fe293835b240%22	https://gdiac.cis.cornell.edu/css/superfish-topmenu.css	C:/Users/Jaroslav/Desktop/WinHTTrack/GDIAC%20NEWS/gdiac.cis.cornell.edu/css/superfish-topmenu.css	(from https://gdiac.cis.cornell.edu/news/index.php?id=29)
22:32:52	5900/5900	---M--	200	added ('OK')	text/css	etag:%224c0036-170c-4fe291f888ec0%22	https://gdiac.cis.cornell.edu/css/superfish-sidebar.css	C:/Users/Jaroslav/Desktop/WinHTTrack/GDIAC%20NEWS/gdiac.cis.cornell.edu/css/superfish-sidebar.css	(from https://gdiac.cis.cornell.edu/news/index.php?id=29)
22:32:53	912/912	---M--	200	added ('OK')	text/css	etag:%224c0074-390-4fc2015d3c0c6%22	https://gdiac.cis.cornell.edu/js/ts-themes/blue/style.css	C:/Users/Jaroslav/Desktop/WinHTTrack/GDIAC%20NEWS/gdiac.cis.cornell.edu/js/ts-themes/blue/style.css	(from https://gdiac.cis.cornell.edu/news/index.php?id=29)
22:32:54	16621/16621	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254499a48-40ed%22	http://code.jquery.com/jquery-migrate-1.2.1.js	C:/Users/Jaroslav/Desktop/WinHTTrack/GDIAC%20NEWS/code.jquery.com/jquery-migrate-1.2.1.js	(from https://gdiac.cis.cornell.edu/news/index.php?id=29)
22:32:54	100193/100193	---M--	200	added ('OK')	text/javascript	etag:%224c0066-18761-4f9b1c788c6c0%22	https://gdiac.cis.cornell.edu/js/jquery-1.11.1.min.js	C:/Users/Jaroslav/Desktop/WinHTTrack/GDIAC%20NEWS/gdiac.cis.cornell.edu/js/jquery-1.11.1.min.js	(from https://gdiac.cis.cornell.edu/news/index.php?id=29)
22:32:55	1320/1320	---M--	200	added ('OK')	text/javascript	etag:%224c0068-528-4f9b1c4da2180%22	https://gdiac.cis.cornell.edu/js/jquery.bgiframe.3.min.js	C:/Users/Jaroslav/Desktop/WinHTTrack/GDIAC%20NEWS/gdiac.cis.cornell.edu/js/jquery.bgiframe.3.min.js	(from https://gdiac.cis.cornell.edu/news/index.php?id=29)
22:32:56	40914/40914	---M--	200	added ('OK')	text/javascript	etag:%224c006a-9fd2-492a44eab8cc0%22	https://gdiac.cis.cornell.edu/js/jquery.tablesorter.js	C:/Users/Jaroslav/Desktop/WinHTTrack/GDIAC%20NEWS/gdiac.cis.cornell.edu/js/jquery.tablesorter.js	(from https://gdiac.cis.cornell.edu/news/index.php?id=29)
22:32:57	4938/4938	---M--	200	added ('OK')	text/javascript	etag:%224c0065-134a-4f9df72546780%22	https://gdiac.cis.cornell.edu/js/hoverIntent.js	C:/Users/Jaroslav/Desktop/WinHTTrack/GDIAC%20NEWS/gdiac.cis.cornell.edu/js/hoverIntent.js	(from https://gdiac.cis.cornell.edu/news/index.php?id=29)
22:32:57	6985/6985	---M--	200	added ('OK')	text/javascript	etag:%224c08bc-1b49-4f9df72546780%22	https://gdiac.cis.cornell.edu/js/superfish-1.7.4.js	C:/Users/Jaroslav/Desktop/WinHTTrack/GDIAC%20NEWS/gdiac.cis.cornell.edu/js/superfish-1.7.4.js	(from https://gdiac.cis.cornell.edu/news/index.php?id=29)
22:32:58	3778/3778	---M--	200	added ('OK')	image/gif	etag:%224c00f9-ec2-4b3210dc2b740%22	https://gdiac.cis.cornell.edu/images/banner/gdiac_signature_unstyled.gif	C:/Users/Jaroslav/Desktop/WinHTTrack/GDIAC%20NEWS/gdiac.cis.cornell.edu/images/banner/gdiac_signature_unstyled.gif	(from https://gdiac.cis.cornell.edu/news/index.php?id=29)
22:32:59	13852/13852	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Oct%202020%2020:32:59%20GMT	https://gdiac.cis.cornell.edu/news/index.php	C:/Users/Jaroslav/Desktop/WinHTTrack/GDIAC%20NEWS/gdiac.cis.cornell.edu/news/index.html	(from https://gdiac.cis.cornell.edu/news/index.php?id=29)
